"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,33,"BRA","Brazil",1,"Acre","BR.AC",NA,"","Estado","State","",""
2,33,"BRA","Brazil",2,"Alagoas","BR.AL",NA,"","Estado","State","",""
3,33,"BRA","Brazil",3,"Amapá","BR.AP",NA,"","Estado","State","",""
4,33,"BRA","Brazil",4,"Amazonas","BR.AM",NA,"","Estado","State","","Amazone"
5,33,"BRA","Brazil",5,"Bahia","BR.BA",NA,"","Estado","State","","Ba¡a"
6,33,"BRA","Brazil",6,"Ceará","BR.CE",NA,"","Estado","State","",""
7,33,"BRA","Brazil",7,"Distrito Federal","BR.DF",NA,"","Distrito Federal","Federal District","",""
8,33,"BRA","Brazil",8,"Espírito Santo","BR.ES",NA,"","Estado","State","","Espiritu Santo"
9,33,"BRA","Brazil",9,"Goiás","BR.GO",NA,"","Estado","State","","Goiáz|Goyáz"
10,33,"BRA","Brazil",10,"Maranhão","BR.MA",NA,"","Estado","State","","São Luíz de Maranhão"
11,33,"BRA","Brazil",11,"Mato Grosso do Sul","BR.MS",NA,"","Estado","State","",""
12,33,"BRA","Brazil",12,"Mato Grosso","BR.MT",NA,"","Estado","State","","Matto Grosso"
13,33,"BRA","Brazil",13,"Minas Gerais","BR.MG",NA,"","Estado","State","","Minas|Minas Geraes"
14,33,"BRA","Brazil",14,"Pará","BR.PA",NA,"","Estado","State","",""
15,33,"BRA","Brazil",15,"Paraíba","BR.PB",NA,"","Estado","State","","Parahyba"
16,33,"BRA","Brazil",16,"Paraná","BR.PR",NA,"","Estado","State","",""
17,33,"BRA","Brazil",17,"Pernambuco","BR.PE",NA,"","Estado","State","","Pernambouc"
18,33,"BRA","Brazil",18,"Piauí","BR.PI",NA,"","Estado","State","","Piauhy"
19,33,"BRA","Brazil",19,"Rio de Janeiro","BR.RJ",NA,"","Estado","State","",""
20,33,"BRA","Brazil",20,"Rio Grande do Norte","BR.RN",NA,"","Estado","State","",""
21,33,"BRA","Brazil",21,"Rio Grande do Sul","BR.RS",NA,"","Estado","State","",""
22,33,"BRA","Brazil",22,"Rondônia","BR.RO",NA,"","Estado","State","","Guaporé"
23,33,"BRA","Brazil",23,"Roraima","BR.RR",NA,"","Estado","State","","Rio Branco"
24,33,"BRA","Brazil",24,"São Paulo","BR.SP",NA,"","Estado","State","",""
25,33,"BRA","Brazil",25,"Santa Catarina","BR.SC",NA,"","Estado","State","","Santa Catharina"
26,33,"BRA","Brazil",26,"Sergipe","BR.SE",NA,"","Estado","State","",""
27,33,"BRA","Brazil",27,"Tocantins","BR.TO",NA,"","Estado","State","",""
