"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,33,"BRA","Brazil",1,"Acre",1,"Acrelândia","",NA,"","Município","Municipality","",""
2,33,"BRA","Brazil",1,"Acre",2,"Assis Brazil","",NA,"","Município","Municipality","",""
3,33,"BRA","Brazil",1,"Acre",3,"Brasiléia","",NA,"","Município","Municipality","",""
4,33,"BRA","Brazil",1,"Acre",4,"Bujari","",NA,"","Município","Municipality","",""
5,33,"BRA","Brazil",1,"Acre",5,"Capixaba","",NA,"","Município","Municipality","",""
6,33,"BRA","Brazil",1,"Acre",6,"Cruzeiro do Sul","",NA,"","Município","Municipality","",""
7,33,"BRA","Brazil",1,"Acre",7,"Epitaciolândia","",NA,"","Município","Municipality","",""
8,33,"BRA","Brazil",1,"Acre",8,"Feijó","",NA,"","Município","Municipality","",""
9,33,"BRA","Brazil",1,"Acre",9,"Jordão","",NA,"","Município","Municipality","",""
10,33,"BRA","Brazil",1,"Acre",10,"Mâncio Lima","",NA,"","Município","Municipality","",""
11,33,"BRA","Brazil",1,"Acre",11,"Manoel Urbano","",NA,"","Município","Municipality","",""
12,33,"BRA","Brazil",1,"Acre",12,"Marechal Thaumaturgo","",NA,"","Município","Municipality","",""
13,33,"BRA","Brazil",1,"Acre",13,"Plácido de Castro","",NA,"","Município","Municipality","",""
14,33,"BRA","Brazil",1,"Acre",14,"Porto Acre","",NA,"","Município","Municipality","",""
15,33,"BRA","Brazil",1,"Acre",15,"Porto Walter","",NA,"","Município","Municipality","",""
16,33,"BRA","Brazil",1,"Acre",16,"Rio Branco","",NA,"","Município","Municipality","",""
17,33,"BRA","Brazil",1,"Acre",17,"Rodrigues Alves","",NA,"","Município","Municipality","",""
18,33,"BRA","Brazil",1,"Acre",18,"Santa Rosa do Purus","",NA,"","Município","Municipality","",""
19,33,"BRA","Brazil",1,"Acre",19,"Sena Madureira","",NA,"","Município","Municipality","",""
20,33,"BRA","Brazil",1,"Acre",20,"Senador Guiomard","",NA,"","Município","Municipality","",""
21,33,"BRA","Brazil",1,"Acre",21,"Tarauacá","",NA,"","Município","Municipality","",""
22,33,"BRA","Brazil",1,"Acre",22,"Xapuri","",NA,"","Município","Municipality","",""
23,33,"BRA","Brazil",2,"Alagoas",23,"Água Branca","",NA,"","Município","Municipality","",""
24,33,"BRA","Brazil",2,"Alagoas",24,"Anadia","",NA,"","Município","Municipality","",""
25,33,"BRA","Brazil",2,"Alagoas",25,"Arapiraca","",NA,"","Município","Municipality","",""
26,33,"BRA","Brazil",2,"Alagoas",26,"Ataléia","",NA,"","Município","Municipality","",""
27,33,"BRA","Brazil",2,"Alagoas",27,"Barra de São Miguel","",NA,"","Município","Municipality","",""
28,33,"BRA","Brazil",2,"Alagoas",28,"Barra de Santo Antônio","",NA,"","Município","Municipality","",""
29,33,"BRA","Brazil",2,"Alagoas",29,"Batalha","",NA,"","Município","Municipality","",""
30,33,"BRA","Brazil",2,"Alagoas",30,"Belém","",NA,"","Município","Municipality","",""
31,33,"BRA","Brazil",2,"Alagoas",31,"Belo Monte","",NA,"","Município","Municipality","",""
32,33,"BRA","Brazil",2,"Alagoas",32,"Boca da Mata","",NA,"","Município","Municipality","",""
33,33,"BRA","Brazil",2,"Alagoas",33,"Branquinha","",NA,"","Município","Municipality","",""
34,33,"BRA","Brazil",2,"Alagoas",34,"Cacimbinhas","",NA,"","Município","Municipality","",""
35,33,"BRA","Brazil",2,"Alagoas",35,"Cajueiro","",NA,"","Município","Municipality","",""
36,33,"BRA","Brazil",2,"Alagoas",36,"Campestre","",NA,"","Município","Municipality","",""
37,33,"BRA","Brazil",2,"Alagoas",37,"Campo Alegre","",NA,"","Município","Municipality","",""
38,33,"BRA","Brazil",2,"Alagoas",38,"Campo Grande","",NA,"","Município","Municipality","",""
39,33,"BRA","Brazil",2,"Alagoas",39,"Canapi","",NA,"","Município","Municipality","",""
40,33,"BRA","Brazil",2,"Alagoas",40,"Capela","",NA,"","Município","Municipality","",""
41,33,"BRA","Brazil",2,"Alagoas",41,"Carneiros","",NA,"","Município","Municipality","",""
42,33,"BRA","Brazil",2,"Alagoas",42,"Chã Preta","",NA,"","Município","Municipality","",""
43,33,"BRA","Brazil",2,"Alagoas",43,"Coité do Nóia","",NA,"","Município","Municipality","",""
44,33,"BRA","Brazil",2,"Alagoas",44,"Colônia Leopoldina","",NA,"","Município","Municipality","",""
45,33,"BRA","Brazil",2,"Alagoas",45,"Coqueiro Seco","",NA,"","Município","Municipality","",""
46,33,"BRA","Brazil",2,"Alagoas",46,"Coruripe","",NA,"","Município","Municipality","",""
47,33,"BRA","Brazil",2,"Alagoas",47,"Craíbas","",NA,"","Município","Municipality","",""
48,33,"BRA","Brazil",2,"Alagoas",48,"Delmiro Gouveia","",NA,"","Município","Municipality","",""
49,33,"BRA","Brazil",2,"Alagoas",49,"Dois Riachos","",NA,"","Município","Municipality","",""
50,33,"BRA","Brazil",2,"Alagoas",50,"Estrela de Alagoas","",NA,"","Município","Municipality","",""
51,33,"BRA","Brazil",2,"Alagoas",51,"Feira Grande","",NA,"","Município","Municipality","",""
52,33,"BRA","Brazil",2,"Alagoas",52,"Feliz Deserto","",NA,"","Município","Municipality","",""
53,33,"BRA","Brazil",2,"Alagoas",53,"Flexeiras","",NA,"","Município","Municipality","",""
54,33,"BRA","Brazil",2,"Alagoas",54,"Girau do Ponciano","",NA,"","Município","Municipality","",""
55,33,"BRA","Brazil",2,"Alagoas",55,"Ibateguara","",NA,"","Município","Municipality","",""
56,33,"BRA","Brazil",2,"Alagoas",56,"Igaci","",NA,"","Município","Municipality","",""
57,33,"BRA","Brazil",2,"Alagoas",57,"Igreja Nova","",NA,"","Município","Municipality","",""
58,33,"BRA","Brazil",2,"Alagoas",58,"Inhapi","",NA,"","Município","Municipality","",""
59,33,"BRA","Brazil",2,"Alagoas",59,"Jacaré dos Homens","",NA,"","Município","Municipality","",""
60,33,"BRA","Brazil",2,"Alagoas",60,"Jacuípe","",NA,"","Município","Municipality","",""
61,33,"BRA","Brazil",2,"Alagoas",61,"Japaratinga","",NA,"","Município","Municipality","",""
62,33,"BRA","Brazil",2,"Alagoas",62,"Jaramataia","",NA,"","Município","Municipality","",""
63,33,"BRA","Brazil",2,"Alagoas",63,"Joaquim Gomes","",NA,"","Município","Municipality","",""
64,33,"BRA","Brazil",2,"Alagoas",64,"Jundiá","",NA,"","Município","Municipality","",""
65,33,"BRA","Brazil",2,"Alagoas",65,"Junqueiro","",NA,"","Município","Municipality","",""
66,33,"BRA","Brazil",2,"Alagoas",66,"Lagoa da Canoa","",NA,"","Município","Municipality","",""
67,33,"BRA","Brazil",2,"Alagoas",67,"Limoeiro de Anadia","",NA,"","Município","Municipality","",""
68,33,"BRA","Brazil",2,"Alagoas",68,"Maceió (capital)","",NA,"","Município","Municipality","",""
69,33,"BRA","Brazil",2,"Alagoas",69,"Major Isidoro","",NA,"","Município","Municipality","",""
70,33,"BRA","Brazil",2,"Alagoas",70,"Mar Vermelho","",NA,"","Município","Municipality","",""
71,33,"BRA","Brazil",2,"Alagoas",71,"Maragogi","",NA,"","Município","Municipality","",""
72,33,"BRA","Brazil",2,"Alagoas",72,"Maravilha","",NA,"","Município","Municipality","",""
73,33,"BRA","Brazil",2,"Alagoas",73,"Marechal deodoro","",NA,"","Município","Municipality","",""
74,33,"BRA","Brazil",2,"Alagoas",74,"Maribondo","",NA,"","Município","Municipality","",""
75,33,"BRA","Brazil",2,"Alagoas",75,"Mata Grande","",NA,"","Município","Municipality","",""
76,33,"BRA","Brazil",2,"Alagoas",76,"Matriz de Camaragibe","",NA,"","Município","Municipality","",""
77,33,"BRA","Brazil",2,"Alagoas",77,"Messias","",NA,"","Município","Municipality","",""
78,33,"BRA","Brazil",2,"Alagoas",78,"Minador do Negrão","",NA,"","Município","Municipality","",""
79,33,"BRA","Brazil",2,"Alagoas",79,"Monteirópolis","",NA,"","Município","Municipality","",""
80,33,"BRA","Brazil",2,"Alagoas",80,"Murici","",NA,"","Município","Municipality","",""
