"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,33,"BRA","Brazil",1,"Acre",1,"Acrelândia",1,"Acrelândia",NA,"","Distrito","District","",""
2,33,"BRA","Brazil",1,"Acre",2,"Assis Brazil",2,"Assis Brazil",NA,"","Distrito","District","",""
3,33,"BRA","Brazil",1,"Acre",3,"Brasiléia",3,"Brazileia",NA,"","Distrito","District","",""
4,33,"BRA","Brazil",1,"Acre",4,"Bujari",4,"Bujari",NA,"","Distrito","District","",""
5,33,"BRA","Brazil",1,"Acre",5,"Capixaba",5,"Capixaba",NA,"","Distrito","District","",""
6,33,"BRA","Brazil",1,"Acre",6,"Cruzeiro do Sul",6,"Cruzeiro do Sul",NA,"","Distrito","District","",""
7,33,"BRA","Brazil",1,"Acre",7,"Epitaciolândia",7,"Epitaciolândia",NA,"","Distrito","District","",""
8,33,"BRA","Brazil",1,"Acre",8,"Feijó",8,"Feijó",NA,"","Distrito","District","",""
9,33,"BRA","Brazil",1,"Acre",9,"Jordão",9,"Jordão",NA,"","Distrito","District","",""
10,33,"BRA","Brazil",1,"Acre",10,"Mâncio Lima",10,"Mâncio Lima",NA,"","Distrito","District","",""
11,33,"BRA","Brazil",1,"Acre",11,"Manoel Urbano",11,"Manoel Urbano",NA,"","Distrito","District","",""
12,33,"BRA","Brazil",1,"Acre",12,"Marechal Thaumaturgo",12,"Marechal Thaumaturgo",NA,"","Distrito","District","",""
13,33,"BRA","Brazil",1,"Acre",13,"Plácido de Castro",13,"Plácido de Castro",NA,"","Distrito","District","",""
14,33,"BRA","Brazil",1,"Acre",14,"Porto Acre",14,"Porto Acre",NA,"","Distrito","District","",""
15,33,"BRA","Brazil",1,"Acre",15,"Porto Walter",15,"Porto Walter",NA,"","Distrito","District","",""
16,33,"BRA","Brazil",1,"Acre",16,"Rio Branco",16,"Rio Branco",NA,"","Distrito","District","",""
17,33,"BRA","Brazil",1,"Acre",17,"Rodrigues Alves",17,"Rodrigues Alves",NA,"","Distrito","District","",""
18,33,"BRA","Brazil",1,"Acre",18,"Santa Rosa do Purus",18,"Santa Rosa do Purus",NA,"","Distrito","District","",""
19,33,"BRA","Brazil",1,"Acre",19,"Sena Madureira",19,"Sena Madureira",NA,"","Distrito","District","",""
20,33,"BRA","Brazil",1,"Acre",20,"Senador Guiomard",20,"Senador Guiomard",NA,"","Distrito","District","",""
21,33,"BRA","Brazil",1,"Acre",21,"Tarauacá",21,"Tarauacá",NA,"","Distrito","District","",""
22,33,"BRA","Brazil",1,"Acre",22,"Xapuri",22,"Xapuri",NA,"","Distrito","District","",""
23,33,"BRA","Brazil",2,"Alagoas",23,"Água Branca",23,"Água Branca",NA,"","Distrito","District","",""
24,33,"BRA","Brazil",2,"Alagoas",24,"Anadia",24,"Anadia",NA,"","Distrito","District","",""
25,33,"BRA","Brazil",2,"Alagoas",25,"Arapiraca",25,"Arapiraca",NA,"","Distrito","District","",""
26,33,"BRA","Brazil",2,"Alagoas",26,"Ataléia",26,"Atalaia",NA,"","Distrito","District","",""
27,33,"BRA","Brazil",2,"Alagoas",26,"Ataléia",27,"Sapucaia",NA,"","Distrito","District","",""
28,33,"BRA","Brazil",2,"Alagoas",27,"Barra de São Miguel",28,"Barra de São Miguel",NA,"","Distrito","District","",""
29,33,"BRA","Brazil",2,"Alagoas",28,"Barra de Santo Antônio",29,"Barra de Santo Antônio",NA,"","Distrito","District","",""
30,33,"BRA","Brazil",2,"Alagoas",29,"Batalha",30,"Batalha",NA,"","Distrito","District","",""
31,33,"BRA","Brazil",2,"Alagoas",30,"Belém",31,"Belém",NA,"","Distrito","District","",""
32,33,"BRA","Brazil",2,"Alagoas",31,"Belo Monte",32,"Belo Monte",NA,"","Distrito","District","",""
33,33,"BRA","Brazil",2,"Alagoas",32,"Boca da Mata",33,"Boca da Mata",NA,"","Distrito","District","",""
34,33,"BRA","Brazil",2,"Alagoas",33,"Branquinha",34,"Branquinha",NA,"","Distrito","District","",""
35,33,"BRA","Brazil",2,"Alagoas",34,"Cacimbinhas",35,"Cacimbinhas",NA,"","Distrito","District","",""
36,33,"BRA","Brazil",2,"Alagoas",35,"Cajueiro",36,"Cajueiro",NA,"","Distrito","District","",""
37,33,"BRA","Brazil",2,"Alagoas",36,"Campestre",37,"Campestre",NA,"","Distrito","District","",""
38,33,"BRA","Brazil",2,"Alagoas",37,"Campo Alegre",38,"Campo Alegre",NA,"","Distrito","District","",""
39,33,"BRA","Brazil",2,"Alagoas",38,"Campo Grande",39,"Campo Grande",NA,"","Distrito","District","",""
40,33,"BRA","Brazil",2,"Alagoas",39,"Canapi",40,"Canapi",NA,"","Distrito","District","",""
41,33,"BRA","Brazil",2,"Alagoas",40,"Capela",41,"Capela",NA,"","Distrito","District","",""
42,33,"BRA","Brazil",2,"Alagoas",40,"Capela",42,"Santa Efigenia",NA,"","Distrito","District","",""
43,33,"BRA","Brazil",2,"Alagoas",41,"Carneiros",43,"Carneiros",NA,"","Distrito","District","",""
44,33,"BRA","Brazil",2,"Alagoas",42,"Chã Preta",44,"Chã Preta",NA,"","Distrito","District","",""
45,33,"BRA","Brazil",2,"Alagoas",43,"Coité do Nóia",45,"Coité do Nóia",NA,"","Distrito","District","",""
46,33,"BRA","Brazil",2,"Alagoas",44,"Colônia Leopoldina",46,"Colônia Leopoldina",NA,"","Distrito","District","",""
47,33,"BRA","Brazil",2,"Alagoas",45,"Coqueiro Seco",47,"Coqueiro Seco",NA,"","Distrito","District","",""
48,33,"BRA","Brazil",2,"Alagoas",46,"Coruripe",48,"Coruripe",NA,"","Distrito","District","",""
49,33,"BRA","Brazil",2,"Alagoas",46,"Coruripe",49,"Poxim",NA,"","Distrito","District","",""
50,33,"BRA","Brazil",2,"Alagoas",47,"Craíbas",50,"Craíbas",NA,"","Distrito","District","",""
51,33,"BRA","Brazil",2,"Alagoas",48,"Delmiro Gouveia",51,"Delmiro Gouveia",NA,"","Distrito","District","",""
52,33,"BRA","Brazil",2,"Alagoas",49,"Dois Riachos",52,"Dois Riachos",NA,"","Distrito","District","",""
53,33,"BRA","Brazil",2,"Alagoas",50,"Estrela de Alagoas",53,"Estrela de Alagoas",NA,"","Distrito","District","",""
54,33,"BRA","Brazil",2,"Alagoas",51,"Feira Grande",54,"Feira Grande",NA,"","Distrito","District","",""
55,33,"BRA","Brazil",2,"Alagoas",52,"Feliz Deserto",55,"Feliz Deserto",NA,"","Distrito","District","",""
